p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),OT
1008.89,0.71,273.18,-1.33,86.1,6.43,5.54,0.89,3.42,428.1
1008.76,0.75,273.22,-1.44,85.2,6.45,5.49,0.95,3.39,428.0
1008.66,0.73,273.21,-1.48,85.1,6.44,5.48,0.96,3.39,427.6
1008.64,0.37,272.86,-1.64,86.3,6.27,5.41,0.86,3.35,430.0
1008.61,0.33,272.82,-1.5,87.4,6.26,5.47,0.79,3.38,432.2
1008.44,0.34,272.84,-1.54,87.1,6.26,5.45,0.81,3.37,430.5
1008.49,0.19,272.69,-1.65,87.4,6.19,5.41,0.78,3.34,431.3
1008.4,0.03,272.53,-1.7,88.1,6.12,5.39,0.73,3.33,433.9
1008.29,0.11,272.63,-1.61,88.1,6.16,5.43,0.73,3.35,430.9
1008.28,0.22,272.73,-1.62,87.4,6.2,5.42,0.78,3.35,431.1
1008.24,-0.04,272.48,-1.85,87.5,6.09,5.33,0.76,3.29,434.6
1008.32,-0.21,272.3,-1.78,89.1,6.01,5.36,0.66,3.31,435.6
1008.24,-0.1,272.42,-1.74,88.6,6.06,5.37,0.69,3.32,433.4
1008.35,-0.16,272.35,-1.88,88.1,6.04,5.32,0.72,3.29,433.7
1008.3,-0.22,272.3,-1.82,88.9,6.01,5.34,0.67,3.3,433.2
1008.4,-0.06,272.45,-1.77,88.2,6.08,5.36,0.72,3.32,433.9
1008.39,-0.17,272.34,-1.81,88.6,6.03,5.35,0.69,3.3,434.3
1008.46,-0.05,272.45,-1.71,88.5,6.09,5.39,0.7,3.33,434.3
1008.15,-0.21,272.31,-1.84,88.7,6.01,5.33,0.68,3.3,433.9
1008.07,-0.77,271.77,-2.31,89.2,5.78,5.15,0.62,3.18,428.9
1008.12,-0.93,271.61,-2.26,90.6,5.71,5.17,0.54,3.2,429.6
1008.04,-0.86,271.68,-2.17,90.8,5.73,5.21,0.53,3.22,430.1
1008.16,-0.87,271.66,-2.16,90.9,5.73,5.21,0.52,3.22,432.6
1008.0,-1.02,271.52,-2.31,90.9,5.67,5.15,0.52,3.19,430.4
1007.76,-1.15,271.41,-2.37,91.4,5.61,5.13,0.48,3.17,430.7
1007.84,-1.08,271.47,-2.25,91.7,5.64,5.17,0.47,3.2,430.7
1007.85,-1.59,270.96,-2.93,90.5,5.43,4.92,0.52,3.04,434.6
1008.02,-1.82,270.72,-2.92,92.1,5.34,4.92,0.42,3.04,433.3
1007.92,-1.84,270.71,-2.9,92.4,5.33,4.93,0.41,3.05,437.6
1007.63,-1.84,270.73,-2.78,93.2,5.34,4.97,0.36,3.08,435.0
1007.63,-2.14,270.44,-3.21,92.3,5.22,4.82,0.4,2.98,433.4
1007.9,-2.34,270.21,-3.26,93.4,5.14,4.8,0.34,2.97,433.5
1007.99,-2.2,270.35,-3.05,93.8,5.2,4.87,0.32,3.01,439.9
1007.85,-2.3,270.25,-3.18,93.7,5.15,4.83,0.32,2.99,440.9
1007.81,-2.4,270.16,-3.21,94.1,5.12,4.82,0.3,2.98,438.9
1007.81,-2.51,270.05,-3.34,94.0,5.08,4.77,0.3,2.95,438.9
1007.91,-2.83,269.72,-3.64,94.1,4.96,4.66,0.29,2.88,434.1
1008.06,-2.79,269.75,-3.53,94.6,4.97,4.7,0.27,2.91,441.1
1008.22,-2.74,269.79,-3.45,94.8,4.99,4.73,0.26,2.92,440.4
1008.19,-2.63,269.9,-3.31,95.0,5.03,4.78,0.25,2.95,438.9
1008.21,-2.5,270.02,-3.19,95.0,5.08,4.82,0.25,2.98,435.5
1008.17,-2.26,270.27,-2.94,95.0,5.17,4.91,0.26,3.04,433.3
1008.16,-2.31,270.23,-3.09,94.3,5.15,4.86,0.29,3.0,433.1
1008.17,-2.53,270.0,-3.39,93.8,5.07,4.75,0.31,2.94,435.2
1008.13,-2.68,269.86,-3.49,94.1,5.01,4.72,0.3,2.92,437.6
1008.25,-2.73,269.79,-3.53,94.2,4.99,4.7,0.29,2.91,439.0
1008.17,-2.79,269.74,-3.57,94.3,4.97,4.69,0.28,2.9,438.5
1008.16,-2.84,269.69,-3.6,94.5,4.95,4.68,0.27,2.89,436.4
1008.12,-2.89,269.64,-3.65,94.5,4.93,4.66,0.27,2.88,436.3
1008.12,-3.02,269.51,-3.79,94.4,4.89,4.61,0.27,2.85,440.8
1008.12,-2.84,269.7,-3.56,94.7,4.95,4.69,0.26,2.9,435.6
1008.04,-2.91,269.63,-3.75,93.9,4.93,4.63,0.3,2.86,433.7
1007.96,-3.11,269.44,-3.99,93.6,4.85,4.54,0.31,2.81,433.1
1008.07,-3.08,269.46,-3.9,94.0,4.86,4.57,0.29,2.83,435.2
1008.17,-3.03,269.5,-3.89,93.8,4.88,4.58,0.3,2.83,439.4
1008.28,-2.95,269.58,-3.86,93.4,4.91,4.59,0.32,2.84,441.0
1008.2,-3.01,269.52,-3.99,92.9,4.89,4.54,0.35,2.81,442.4
1008.31,-2.84,269.69,-3.89,92.4,4.95,4.58,0.38,2.83,441.8
1008.41,-2.67,269.84,-3.71,92.5,5.02,4.64,0.38,2.87,441.6
1008.45,-1.93,270.58,-3.18,91.1,5.3,4.83,0.47,2.98,442.5
1008.5,-1.53,270.98,-3.33,87.4,5.46,4.77,0.69,2.95,442.0
1008.46,-1.25,271.25,-3.27,86.1,5.57,4.8,0.77,2.96,440.9
1008.49,-1.24,271.26,-3.25,86.1,5.58,4.8,0.78,2.97,440.7
1008.37,-1.32,271.19,-3.29,86.4,5.54,4.79,0.75,2.96,441.8
1008.36,-1.03,271.49,-3.07,85.9,5.67,4.87,0.8,3.01,441.9
1008.34,-1.14,271.37,-3.08,86.6,5.62,4.86,0.75,3.01,439.4
1008.21,-0.83,271.7,-2.89,85.8,5.75,4.93,0.82,3.05,440.5
1008.02,-0.65,271.89,-2.77,85.5,5.82,4.98,0.84,3.08,438.8
1008.03,-0.43,272.11,-2.63,85.0,5.92,5.03,0.89,3.11,438.7
1007.84,-0.4,272.16,-2.63,84.8,5.93,5.03,0.9,3.11,438.5
1007.69,-0.06,272.5,-2.41,84.1,6.08,5.11,0.97,3.16,441.1
1007.62,0.68,273.24,-2.03,82.0,6.42,5.26,1.15,3.25,442.4
1007.59,0.93,273.5,-2.03,80.5,6.53,5.26,1.27,3.25,441.5
1007.56,1.23,273.8,-1.8,80.1,6.68,5.35,1.33,3.31,438.3
1007.44,1.7,274.27,-1.66,78.3,6.91,5.41,1.5,3.35,436.4
1007.29,1.98,274.57,-1.52,77.5,7.05,5.46,1.59,3.38,434.7
1007.12,2.62,275.22,-1.29,75.3,7.38,5.56,1.82,3.44,434.9
1007.04,2.83,275.44,-1.29,74.2,7.49,5.56,1.93,3.44,434.1
1006.98,2.87,275.48,-1.26,74.1,7.51,5.57,1.95,3.45,434.7
1006.83,3.09,275.71,-1.13,73.7,7.63,5.62,2.01,3.48,433.2
1006.79,3.86,276.48,-0.91,70.9,8.06,5.71,2.34,3.54,433.0
1006.69,3.84,276.48,-0.97,70.7,8.05,5.69,2.36,3.52,432.4
1006.6,4.03,276.67,-0.92,70.0,8.15,5.71,2.45,3.53,431.8
1006.41,3.7,276.35,-1.09,70.8,7.97,5.64,2.33,3.49,431.2
1006.3,3.45,276.11,-1.06,72.2,7.83,5.65,2.18,3.5,430.7
1006.26,3.64,276.3,-1.03,71.4,7.93,5.66,2.27,3.51,429.2
1006.19,3.89,276.56,-1.0,70.3,8.08,5.68,2.4,3.52,428.9
1006.06,3.87,276.55,-1.0,70.4,8.06,5.68,2.39,3.52,428.6
1006.01,4.32,277.01,-0.83,69.02,8.32,5.75,2.58,3.56,428.9
1006.01,4.58,277.27,-0.75,68.2,8.48,5.78,2.7,3.58,429.3
1006.03,4.2,276.89,-0.86,69.47,8.25,5.73,2.52,3.55,427.9
1006.02,4.07,276.76,-0.82,70.3,8.18,5.75,2.43,3.56,427.3
1006.02,4.44,277.13,-0.69,69.19,8.39,5.81,2.59,3.6,426.7
1005.99,4.5,277.19,-0.73,68.67,8.43,5.79,2.64,3.59,426.2
1005.87,4.34,277.04,-0.91,68.54,8.34,5.71,2.62,3.54,425.6
1005.83,3.74,276.44,-1.13,70.4,7.99,5.62,2.36,3.48,425.2
1005.78,3.23,275.93,-1.22,72.5,7.7,5.59,2.12,3.46,425.4
1005.71,2.99,275.7,-1.28,73.4,7.57,5.56,2.01,3.45,424.9
1005.71,2.89,275.6,-1.32,73.7,7.52,5.54,1.98,3.44,424.5
1005.76,2.77,275.48,-1.38,74.0,7.46,5.52,1.94,3.42,424.7
1005.88,2.6,275.3,-1.42,74.7,7.37,5.5,1.86,3.41,425.0
1005.96,2.09,274.79,-1.57,76.6,7.11,5.44,1.66,3.37,429.9
1005.96,1.63,274.33,-1.62,78.9,6.88,5.42,1.45,3.36,437.9
1006.03,1.26,273.95,-1.91,79.3,6.69,5.31,1.38,3.29,428.9
1006.0,1.03,273.72,-2.08,79.6,6.58,5.24,1.34,3.25,427.3
1005.96,0.99,273.68,-1.84,81.3,6.56,5.33,1.23,3.3,430.4
1005.93,0.85,273.55,-1.93,81.6,6.5,5.3,1.2,3.28,430.7
1005.85,0.63,273.34,-2.09,81.9,6.4,5.24,1.16,3.25,430.2
1005.81,0.35,273.06,-2.38,81.8,6.27,5.13,1.14,3.18,430.1
1005.83,0.05,272.75,-2.32,84.0,6.13,5.15,0.98,3.19,430.8
1005.78,-0.08,272.63,-2.21,85.5,6.07,5.19,0.88,3.22,431.9
1005.71,-0.21,272.5,-2.37,85.3,6.01,5.13,0.88,3.18,433.9
1005.7,-0.62,272.1,-2.69,85.8,5.84,5.01,0.83,3.1,437.3
1005.68,-1.32,271.4,-3.36,85.9,5.55,4.76,0.78,2.95,445.3
1005.71,-1.42,271.3,-2.98,89.0,5.51,4.9,0.61,3.04,439.5
1005.69,-1.31,271.41,-2.72,90.1,5.55,5.0,0.55,3.1,435.8
1005.61,-1.33,271.4,-2.8,89.6,5.54,4.97,0.58,3.08,434.9
1005.49,-1.38,271.36,-2.82,89.8,5.52,4.96,0.56,3.07,432.3
1005.57,-1.36,271.37,-2.91,89.1,5.53,4.93,0.6,3.05,433.4
1005.53,-1.48,271.26,-2.94,89.7,5.48,4.92,0.56,3.05,435.1
1005.46,-1.86,270.88,-3.37,89.3,5.33,4.76,0.57,2.95,437.9
1005.39,-2.15,270.59,-3.47,90.6,5.21,4.72,0.49,2.93,438.7
1005.34,-2.18,270.57,-3.3,92.0,5.2,4.79,0.42,2.97,438.5
1005.32,-2.24,270.51,-3.32,92.2,5.18,4.78,0.4,2.96,439.1
1005.26,-2.57,270.19,-3.64,92.3,5.05,4.67,0.39,2.89,439.7
1005.21,-2.78,269.98,-3.78,92.8,4.97,4.62,0.36,2.86,441.0
1005.12,-2.85,269.92,-3.7,93.8,4.95,4.64,0.31,2.88,440.8
1005.07,-2.95,269.82,-3.81,93.7,4.91,4.6,0.31,2.85,441.5
1005.01,-3.21,269.56,-4.05,93.9,4.82,4.52,0.29,2.8,444.5
1004.96,-3.06,269.71,-3.79,94.7,4.87,4.61,0.26,2.86,441.6
1004.84,-3.0,269.78,-3.78,94.3,4.89,4.61,0.28,2.86,439.6
1004.76,-3.21,269.58,-4.03,94.0,4.82,4.53,0.29,2.81,442.8
1004.64,-3.27,269.53,-4.05,94.3,4.8,4.52,0.27,2.8,440.6
1004.61,-3.31,269.49,-4.08,94.4,4.78,4.51,0.27,2.8,441.6
1004.54,-3.39,269.42,-4.11,94.7,4.75,4.5,0.25,2.79,442.0
1004.51,-3.35,269.47,-4.05,94.8,4.77,4.52,0.25,2.8,441.1
1004.62,-3.29,269.51,-3.99,94.9,4.79,4.54,0.24,2.82,441.2
1004.56,-3.19,269.62,-3.94,94.5,4.83,4.56,0.27,2.83,441.4
1004.45,-3.2,269.62,-3.99,94.2,4.82,4.54,0.28,2.82,439.0
1004.35,-3.32,269.5,-4.23,93.4,4.78,4.46,0.32,2.77,432.4
1004.28,-3.09,269.74,-4.03,93.2,4.86,4.53,0.33,2.81,432.1
1004.29,-2.96,269.87,-4.3,90.4,4.91,4.44,0.47,2.75,432.2
1004.26,-3.46,269.38,-4.89,89.7,4.73,4.24,0.49,2.63,435.2
1004.16,-3.39,269.45,-4.58,91.4,4.75,4.34,0.41,2.7,438.5
1004.13,-3.47,269.37,-4.68,91.3,4.72,4.31,0.41,2.68,439.1
1004.13,-3.94,268.9,-5.16,91.2,4.56,4.16,0.4,2.58,438.2
1004.11,-3.91,268.94,-5.11,91.3,4.57,4.17,0.4,2.59,436.7
1004.09,-3.86,268.98,-4.96,92.0,4.59,4.22,0.37,2.62,437.1
1004.0,-3.88,268.97,-5.17,90.7,4.58,4.16,0.43,2.58,436.0
1003.96,-4.23,268.62,-5.6,90.1,4.46,4.02,0.44,2.49,437.1
1003.86,-4.42,268.44,-5.65,91.1,4.4,4.0,0.39,2.49,442.8
1003.9,-4.42,268.44,-5.43,92.6,4.4,4.07,0.33,2.53,444.4
1003.76,-4.5,268.37,-5.47,92.9,4.37,4.06,0.31,2.52,444.6
1003.75,-4.31,268.56,-5.14,93.9,4.43,4.16,0.27,2.58,441.4
1003.72,-4.25,268.62,-5.25,92.7,4.45,4.13,0.33,2.56,443.6
1003.76,-4.2,268.67,-5.14,93.1,4.47,4.16,0.31,2.58,440.6
1003.73,-3.98,268.9,-4.92,93.1,4.55,4.23,0.31,2.63,440.7
1003.67,-4.07,268.81,-5.28,91.2,4.52,4.12,0.4,2.56,440.6
1003.51,-4.56,268.33,-6.13,88.7,4.35,3.86,0.49,2.4,435.7
1003.51,-4.78,268.11,-6.2,89.7,4.28,3.84,0.44,2.38,444.9
1003.49,-4.85,268.04,-5.94,92.0,4.26,3.92,0.34,2.43,447.5
1003.38,-4.86,268.04,-5.88,92.5,4.25,3.93,0.32,2.44,447.2
1003.27,-4.88,268.03,-5.9,92.5,4.25,3.93,0.32,2.44,448.0
1003.17,-4.91,268.01,-6.04,91.7,4.24,3.89,0.35,2.41,441.4
1003.12,-4.81,268.12,-6.14,90.3,4.27,3.86,0.41,2.39,443.4
1003.07,-5.03,267.89,-6.25,91.1,4.2,3.82,0.37,2.37,448.9
1003.08,-5.12,267.81,-6.25,91.7,4.17,3.82,0.35,2.37,446.0
1003.12,-4.72,268.2,-5.78,92.2,4.3,3.96,0.34,2.46,443.6
1003.22,-4.45,268.47,-5.76,90.5,4.39,3.97,0.42,2.47,441.5
1003.37,-4.54,268.36,-5.98,89.6,4.36,3.9,0.45,2.42,444.4
1003.32,-5.02,267.89,-6.48,89.4,4.2,3.76,0.45,2.33,452.1
1003.15,-5.39,267.53,-6.63,90.9,4.08,3.71,0.37,2.31,452.8
1002.99,-5.48,267.46,-6.72,90.9,4.06,3.69,0.37,2.29,450.1
1002.82,-5.43,267.52,-6.81,89.9,4.07,3.66,0.41,2.27,440.6
1002.67,-4.96,268.0,-6.46,89.1,4.22,3.76,0.46,2.34,439.1
1002.65,-4.87,268.09,-6.92,85.4,4.25,3.63,0.62,2.25,440.7
1002.67,-5.22,267.73,-6.84,88.3,4.14,3.65,0.48,2.27,446.1
1002.62,-5.43,267.53,-6.83,89.8,4.07,3.66,0.42,2.27,449.2
1002.55,-5.53,267.44,-6.89,90.0,4.04,3.64,0.4,2.26,453.2
1002.53,-5.45,267.52,-6.63,91.3,4.07,3.71,0.35,2.31,451.2
1002.51,-5.58,267.39,-6.84,90.7,4.03,3.65,0.37,2.27,452.1
1002.53,-5.78,267.19,-7.03,90.8,3.97,3.6,0.36,2.24,452.0
1002.53,-5.69,267.28,-6.91,91.0,3.99,3.63,0.36,2.26,451.7
1002.52,-5.44,267.53,-6.76,90.3,4.07,3.67,0.39,2.28,452.1
1002.44,-5.46,267.52,-7.04,88.5,4.06,3.6,0.47,2.23,451.8
1002.41,-5.47,267.51,-6.88,89.7,4.06,3.64,0.42,2.26,447.6
1002.37,-5.05,267.93,-6.67,88.3,4.19,3.7,0.49,2.3,446.1
1002.4,-4.94,268.04,-6.69,87.4,4.23,3.69,0.53,2.3,445.6
1002.4,-4.8,268.18,-6.69,86.5,4.27,3.7,0.58,2.3,443.7
1002.36,-4.91,268.07,-6.78,86.6,4.24,3.67,0.57,2.28,446.4
1002.35,-5.12,267.86,-6.88,87.4,4.17,3.64,0.53,2.26,452.5
1002.38,-5.13,267.84,-6.97,86.8,4.17,3.62,0.55,2.25,451.0
1002.36,-5.58,267.4,-7.29,87.6,4.03,3.53,0.5,2.19,451.7
1002.35,-5.66,267.32,-7.0,90.2,4.0,3.61,0.39,2.24,453.2
1002.27,-5.44,267.55,-6.75,90.4,4.07,3.68,0.39,2.29,453.5
1002.18,-4.73,268.26,-6.47,87.5,4.3,3.76,0.54,2.34,445.2
1002.21,-4.44,268.55,-6.65,84.4,4.39,3.71,0.69,2.3,443.5
1002.19,-4.39,268.6,-6.71,83.7,4.41,3.69,0.72,2.29,447.1
1002.25,-4.71,268.28,-6.98,84.0,4.3,3.61,0.69,2.25,457.3
1002.19,-4.68,268.31,-6.62,86.2,4.31,3.72,0.6,2.31,459.1
1002.05,-4.13,268.87,-6.58,82.9,4.5,3.73,0.77,2.32,457.2
1002.01,-4.07,268.93,-6.54,82.8,4.51,3.74,0.78,2.32,455.3
1002.0,-4.04,268.97,-6.51,82.8,4.53,3.75,0.78,2.33,457.0
1001.81,-4.16,268.86,-6.5,83.6,4.49,3.75,0.74,2.33,459.2
1001.66,-3.81,269.23,-6.11,83.9,4.61,3.86,0.74,2.4,463.1
1001.66,-3.53,269.51,-5.88,83.6,4.7,3.93,0.77,2.45,466.5
1001.57,-3.02,270.02,-5.74,81.4,4.89,3.98,0.91,2.47,459.3
1001.52,-2.78,270.26,-5.7,80.2,4.98,3.99,0.99,2.48,453.6
1001.42,-1.87,271.18,-5.34,77.0,5.32,4.1,1.22,2.55,450.3
1001.32,-1.24,271.81,-5.31,73.7,5.58,4.11,1.47,2.56,449.4
1001.39,-0.91,272.14,-5.17,72.7,5.71,4.15,1.56,2.58,451.4
1001.38,-0.56,272.49,-5.07,71.4,5.86,4.19,1.68,2.6,452.8
1001.18,-0.59,272.48,-5.1,71.4,5.85,4.18,1.67,2.6,451.2
1001.01,-0.19,272.89,-4.93,70.2,6.02,4.23,1.8,2.63,448.4
1000.87,0.48,273.57,-4.85,67.31,6.32,4.26,2.07,2.65,447.1
1000.7,1.06,274.17,-4.72,65.15,6.6,4.3,2.3,2.68,445.3
1000.49,1.8,274.92,-4.79,61.45,6.96,4.28,2.68,2.66,445.7
1000.23,1.92,275.06,-4.63,61.68,7.02,4.33,2.69,2.7,441.9
1000.03,2.72,275.88,-4.24,59.96,7.43,4.46,2.98,2.78,440.7
999.8,3.47,276.65,-3.93,58.23,7.84,4.56,3.27,2.84,440.4
999.66,4.37,277.56,-3.76,55.33,8.35,4.62,3.73,2.88,440.7
999.58,4.98,278.17,-3.81,52.83,8.71,4.6,4.11,2.87,436.8
999.46,5.58,278.78,-3.84,50.54,9.09,4.59,4.49,2.86,435.3
999.3,5.73,278.94,-3.25,52.29,9.18,4.8,4.38,2.99,439.8
999.16,6.06,279.29,-2.83,52.72,9.4,4.95,4.44,3.09,439.3
999.06,6.47,279.7,-2.31,53.29,9.67,5.15,4.52,3.21,439.0
998.98,6.47,279.72,-2.18,53.8,9.67,5.2,4.47,3.25,438.9
998.88,6.22,279.47,-2.02,55.42,9.5,5.27,4.24,3.29,438.6
