id,date,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
A_1600,2020-01-01 00:00:00,-0.36476135,8.793503,1.0550842,-0.85321045,0.29722595,0.8901825
A_1600,2020-01-01 01:00:00,-0.8797302,9.768784,1.0169983,-0.8751373,0.015472412,0.16223145
A_1600,2020-01-01 02:00:00,2.0014954,11.10907,2.619156,-0.72016907,0.38848877,0.28401184
A_1600,2020-01-01 03:00:00,0.45062256,12.651642,0.18455505,-0.57164,1.2274017,0.2416687
A_1600,2020-01-01 04:00:00,-2.1643524,13.928436,4.4224854,-0.38049316,1.2028351,0.21313477
A_1600,2020-01-01 05:00:00,-4.332779,13.361191,0.7188721,-0.2257843,0.558136,0.1244812
A_1600,2020-01-01 06:00:00,-0.31944275,13.318359,0.23202515,0.12780762,0.38006592,0.55288696
A_1600,2020-01-01 07:00:00,1.566452,9.515274,0.01777649,-0.513504,0.3798523,0.33229065
A_1600,2020-01-01 08:00:00,-0.32374573,5.262665,0.32234192,0.44636536,-0.5105896,0.113098145
A_1600,2020-01-01 09:00:00,-1.811676,3.7105103,1.3739319,-1.3566284,-0.43528748,0.45516968
A_1600,2020-01-01 10:00:00,-1.1340485,4.538269,2.2975464,0.012771606,-0.5677643,0.45507813
A_1600,2020-01-01 11:00:00,0.09291077,6.7061005,1.8996277,0.5776367,-0.38237,0.11601257
A_1600,2020-01-01 12:00:00,-1.0363159,15.611984,2.6415253,1.1203461,0.23231506,0.27876282
A_1600,2020-01-01 13:00:00,0.7523041,9.682709,3.0008698,0.88772583,-0.65792847,0.3221588
A_1600,2020-01-01 14:00:00,-0.49697876,18.676529,0.9373779,0.9108887,-0.61213684,0.19740295
A_1600,2020-01-01 15:00:00,-2.359375,10.250824,1.7508545,0.84439087,-0.47198486,0.49942017
A_1600,2020-01-01 16:00:00,0.5801697,7.5878143,0.44392395,0.2956543,-0.40312195,0.43927002
A_1600,2020-01-01 17:00:00,-2.8121796,9.1380005,0.45043945,0.12045288,-0.89486694,0.3280182
A_1600,2020-01-01 18:00:00,-1.8853912,8.08699,0.8474426,0.3812256,-0.60964966,0.2664795
A_1600,2020-01-01 19:00:00,0.88934326,4.5319824,0.22895813,1.0820465,0.42559814,0.23730469
A_1600,2020-01-01 20:00:00,0.0048217773,7.2174377,0.3471222,0.22673035,0.92663574,0.57728577
A_1600,2020-01-01 21:00:00,-0.40156555,8.818573,0.5805359,-0.77423096,0.442276,0.86042786
A_1600,2020-01-01 22:00:00,-1.3717194,11.805405,2.5853271,-1.0910187,0.5107422,0.46768188
A_1600,2020-01-01 23:00:00,3.6513977,10.278336,3.7453308,-0.72128296,1.5125122,0.075912476
A_1600,2020-01-02 00:00:00,1.6511078,13.003159,2.6304626,-0.48588562,1.5380554,0.009124756
A_1600,2020-01-02 01:00:00,-6.492264,15.142807,4.1967316,-0.48788452,0.819458,0.1055603
A_1600,2020-01-02 02:00:00,-2.3653412,14.497086,0.5090637,-0.6408081,0.35273743,0.276886
A_1600,2020-01-02 03:00:00,0.5682068,10.774796,1.6243744,-0.56544495,0.7002106,0.39074707
A_1600,2020-01-02 04:00:00,0.1408844,6.327484,0.5890198,-0.24977112,-0.14559937,0.304245
A_1600,2020-01-02 05:00:00,-2.2570343,2.6841736,0.44177246,-0.97065735,-0.10958862,0.8390198
A_1600,2020-01-02 06:00:00,-2.5901947,3.7238007,1.4221497,-0.09056091,-0.8080597,0.78926086
A_1600,2020-01-02 07:00:00,-0.14053345,5.54245,2.450531,0.17288208,0.041152954,0.13639832
A_1600,2020-01-02 08:00:00,-0.093048096,11.105392,1.9259796,1.2881012,-0.19418335,0.012481689
A_1600,2020-01-02 09:00:00,-3.0816803,17.96025,5.908808108075906,0.7216644,-0.49447632,0.052612305
A_1600,2020-01-02 10:00:00,0.50057983,16.245224,1.8384705,0.871521,-1.017334,0.3499298
A_1600,2020-01-02 11:00:00,-1.6666412,7.324051,1.2213898,0.8228607,-0.6777191,0.29537964
A_1600,2020-01-02 12:00:00,0.85995483,8.953232,2.8749847,0.40945435,-0.6839905,0.36384583
A_1600,2020-01-02 13:00:00,-2.504074,8.181229,0.8282013,-0.038406372,-0.77853394,0.29611206
A_1600,2020-01-02 14:00:00,-3.458725,7.9203186,0.53718567,0.22994995,-0.6064453,0.32435608
A_1600,2020-01-02 15:00:00,-0.3136902,5.471634,0.12658691,0.8297119,0.45942688,0.40005493
A_1600,2020-01-02 16:00:00,0.79541016,5.9292755,0.13972473,-0.045455933,0.5688324,0.72613525
A_1600,2020-01-02 17:00:00,-0.29496765,8.266602,0.50408936,-1.0971985,0.3534546,0.6892853
A_1600,2020-01-02 18:00:00,-1.1681519,11.531845,2.7651062,-0.9349365,0.39465332,0.32261658
A_1600,2020-01-02 19:00:00,3.0590363,11.120392,2.9900513,-0.7129059,1.3656769,0.1600647
