id,date,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
B_1600,2020-01-01 00:00:00,1.3755493,15.375046,2.9716187,0.41027832,1.7105713,0.5047455
B_1600,2020-01-01 01:00:00,-3.934433,17.538788,2.1100159,-0.25613403,0.38085938,0.29577637
B_1600,2020-01-01 02:00:00,-0.08773804,12.791565,1.4541016,-0.6911316,-0.29986572,0.030258179
B_1600,2020-01-01 03:00:00,2.038742,3.0771484,1.0537262,0.5250397,-0.006881714,0.72862244
B_1600,2020-01-01 04:00:00,-2.5584717,-2.738678,2.0985107,-1.0075836,-0.19232178,1.1473999
B_1600,2020-01-01 05:00:00,-1.3553009,0.38841248,0.6598511,-1.0671234,-1.3441162,0.037460327
B_1600,2020-01-01 06:00:00,2.0150146,3.4161682,7.5558777,-0.79447937,-0.6420746,0.035736084
B_1600,2020-01-01 07:00:00,-6.2882385,14.711182,3.4687195,-0.33790588,-0.599823,0.3196869
B_1600,2020-01-01 08:00:00,-2.574417,15.563843,5.3102875,0.32003784,-0.22636414,0.44062805
B_1600,2020-01-01 09:00:00,5.6569214,16.769974,0.098587036,-0.23400879,-0.39987183,0.5332947
B_1600,2020-01-01 10:00:00,0.9068146,9.314545,1.0450592,-1.205307,-1.1271057,0.32389832
B_1600,2020-01-01 11:00:00,-1.7923279,-2.5738983,0.24681091,-2.7043,-0.699234,2.211423230508196
B_1600,2020-01-01 12:00:00,-1.2578583,-4.7496796,3.4091187,0.1388855,-0.032592773,0.046844482
B_1600,2020-01-01 13:00:00,-1.7368774,3.688675,0.8624115,1.9094849,0.60842896,0.10676575
B_1600,2020-01-01 14:00:00,-11.69677023894032,16.612076,4.1779785,1.6597748,0.38941956,0.057510376
B_1600,2020-01-01 15:00:00,2.6533508,15.861908,2.6893768,0.7845154,0.18632507,0.49949646
B_1600,2020-01-01 16:00:00,0.701355,16.667755,1.8760223,0.09863281,0.8845062,0.09121704
B_1600,2020-01-01 17:00:00,-5.8210297,16.942215,1.5714874,0.024032593,0.1712799,0.32878113
B_1600,2020-01-01 18:00:00,0.96362305,12.950119,2.2419128,-0.5101013,-0.067840576,0.0816803
B_1600,2020-01-01 19:00:00,0.6802826,0.32495117,0.6221924,0.38931274,0.09352112,0.63313293
B_1600,2020-01-01 20:00:00,-2.3579407,-4.4585114,3.1837158,-0.3152008,-0.5201874,0.80152893
B_1600,2020-01-01 21:00:00,-1.1780243,2.359558,0.33744812,-1.1582947,-0.25749207,0.13729858
B_1600,2020-01-01 22:00:00,0.36346436,7.1090546,5.1072693,-0.24023438,-0.061187744,0.44337463
B_1600,2020-01-01 23:00:00,-10.188965,17.894684,3.439087,-0.21609497,-0.16998291,0.29875183
B_1600,2020-01-02 00:00:00,1.3706665,16.896149,0.23558044,1.191925,0.17805481,0.9353485
B_1600,2020-01-02 01:00:00,1.8660431,13.835983,2.529068,-0.855896,-0.8478241,0.5364227
B_1600,2020-01-02 02:00:00,-2.1710358,6.407791,0.8679657,-1.128128,-0.8987274,0.02986145
B_1600,2020-01-02 03:00:00,-2.0418854,-6.569107,1.0613403,-2.747406,-0.43399048,1.3135071
B_1600,2020-01-02 04:00:00,-2.0826569,0.039535522,3.6974487,1.5973511,0.72554016,0.22433472
B_1600,2020-01-02 05:00:00,-2.1096954,6.4341583,4.862091,1.3396149,1.323349,0.93652344
B_1600,2020-01-02 06:00:00,-4.2754364,5.5098114,11.247182854835163,1.5145569,0.01789856,1.223587
B_1600,2020-01-02 07:00:00,6.010147,16.053223,2.1923218,0.72543335,0.4316101,0.32800293
B_1600,2020-01-02 08:00:00,-4.9989014,19.606735,3.4262543,0.2568512,1.7651215,0.7259369
B_1600,2020-01-02 09:00:00,-1.1465302,17.573013,0.5420685,-0.26246643,-0.15419006,0.14375305
B_1600,2020-01-02 10:00:00,3.070984,6.6422577,1.5028229,-0.39523315,0.3259735,0.6218567
B_1600,2020-01-02 11:00:00,-2.1336365,-4.050949,2.104889,0.2232666,1.6197968,0.3644104
B_1600,2020-01-02 12:00:00,-4.191513,-2.068283,3.0178528,-0.6015625,-1.2151031,0.2675476
B_1600,2020-01-02 13:00:00,-1.9732056,3.7012634,2.1500854,-1.0693512,-0.3249359,0.04055786
B_1600,2020-01-02 14:00:00,-0.0738678,19.613052,3.8160858,0.33106995,-0.73410034,0.002670288
B_1600,2020-01-02 15:00:00,-4.760803,19.309448,0.57585144,0.20327759,-0.48139954,0.55744934
B_1600,2020-01-02 16:00:00,3.496048,14.761658,2.8413544,-0.07711792,-0.66426086,0.7030182
B_1600,2020-01-02 17:00:00,-1.4541473,8.613495,2.4773712,-2.0588684,-0.53256226,0.053146362
B_1600,2020-01-02 18:00:00,-2.6970367,-1.4151611,1.1047668,-1.6590881,-0.4440918,2.211423230508196
B_1600,2020-01-02 19:00:00,-0.97550964,-6.2751465,3.6135254,1.1495361,0.025970459,0.8488312
B_1600,2020-01-02 20:00:00,-1.8022919,4.9064636,0.46939087,1.6483002,1.3007813,0.013183594
B_1600,2020-01-02 21:00:00,-9.810638,18.683868,6.3202057,0.89779663,0.54756165,0.09075928
B_1600,2020-01-02 22:00:00,4.096512,13.461212,1.6535034,0.20457458,0.81607056,0.78804016
B_1600,2020-01-02 23:00:00,-1.9549103,14.167038,0.65852356,0.23640442,1.0389252,0.39308167
B_1600,2020-01-03 00:00:00,-5.039963,17.801575,0.76716614,-0.28808594,-0.16316223,0.2230835
B_1600,2020-01-03 01:00:00,2.8057404,7.1699524,1.5767365,-0.24397278,0.22331238,0.13929749
B_1600,2020-01-03 02:00:00,-0.20166016,-4.6009064,1.8507996,0.8152771,0.14550781,0.06903076
B_1600,2020-01-03 03:00:00,-3.0475006,-0.3065033,2.7566223,-0.7353058,-1.4657898,1.6527405
B_1600,2020-01-03 04:00:00,0.25308228,4.3844757,0.78323364,-0.29418945,-0.7921448,0.032684326
B_1600,2020-01-03 05:00:00,-0.3989563,10.1870575,2.142334,-0.21960449,-1.0876617,0.40797424
B_1600,2020-01-03 06:00:00,-11.69677023894032,17.942581,10.390198,0.22407532,-0.6426697,0.32159424
B_1600,2020-01-03 07:00:00,3.8740387,13.456146,2.0382538,0.28503418,-0.035369873,0.87615967
B_1600,2020-01-03 08:00:00,-0.6319885,11.447586,2.5698853,-0.9640198,-0.43951416,0.14111328
B_1600,2020-01-03 09:00:00,-1.8536682,1.3077698,1.2036133,-1.5145874,-0.5195465,0.61595154
B_1600,2020-01-03 10:00:00,0.1085968,-5.5353546,2.3401184,-1.1453705,0.7907562,0.27578735
B_1600,2020-01-03 11:00:00,-0.9203644,2.866928,5.1242065,1.1077728,1.6047974,0.12928772
B_1600,2020-01-03 12:00:00,-2.1515656,8.132721,2.6971588,0.98786926,0.5256653,0.08866882
B_1600,2020-01-03 13:00:00,0.28085327,8.071274,8.265137,0.7137604,0.06851196,1.2384949
B_1600,2020-01-03 14:00:00,0.26005554,15.475067,3.139679,0.018753052,0.34622192,0.13145447
B_1600,2020-01-03 15:00:00,-3.8174438,17.889038,0.18367004,-0.19180298,0.2183075,0.65708923
B_1600,2020-01-03 16:00:00,0.69262695,11.477509,2.0716095,-0.38815308,-0.145401,0.1136322
B_1600,2020-01-03 17:00:00,1.2940216,1.2542114,1.815979,0.1113739,0.8102722,0.34965515
B_1600,2020-01-03 18:00:00,-2.409546,-2.5455475,2.7528229,0.2393341,0.5052185,0.22511292
B_1600,2020-01-03 19:00:00,-3.2760773,1.3717346,2.7180786,-0.3586731,-0.38549805,0.123535156
B_1600,2020-01-03 20:00:00,-1.9995575,10.15741,5.3870697,-0.37921143,0.25256348,0.4517975
B_1600,2020-01-03 21:00:00,-1.1997833,19.480194,5.4606323,0.40901184,0.0095825195,0.23899841
B_1600,2020-01-03 22:00:00,1.2199402,18.153412,0.631546,0.2649994,-0.14355469,0.70944214
B_1600,2020-01-03 23:00:00,0.60702515,13.083389,1.6220856,-1.19133,-0.65031433,0.5279083
B_1600,2020-01-04 00:00:00,-2.726654,2.2838593,0.27593994,-1.7989807,0.25131226,1.5844574
B_1600,2020-01-04 01:00:00,-1.8470154,-4.1001587,0.9458008,-0.11701965,1.2725372,1.3747253
B_1600,2020-01-04 02:00:00,-0.38659668,0.84454346,0.5437012,1.0742035,1.639328,0.32736206
B_1600,2020-01-04 03:00:00,-6.208191,12.799973,3.7281647,0.99108887,1.0215607,0.5744171
B_1600,2020-01-04 04:00:00,-5.653473,17.277191,6.692688,0.42778015,0.56307983,0.7249756
B_1600,2020-01-04 05:00:00,-2.1893616,15.654221,0.07698059,0.21411133,0.80059814,0.055007935
B_1600,2020-01-04 06:00:00,-2.9522552,16.139252,0.7786865,-0.105545044,0.0009918213,0.56614685
B_1600,2020-01-04 07:00:00,-1.0450592,10.649551,1.2143402,-0.6206665,-0.3663025,0.042175293
B_1600,2020-01-04 08:00:00,-0.71058655,1.576828,1.0868073,0.86001587,1.220871,0.5636444
B_1600,2020-01-04 09:00:00,-2.461563,0.1758728,3.383606,-0.09979248,-0.32443237,0.02305603
B_1600,2020-01-04 10:00:00,-2.2555237,1.4293213,1.1229248,-0.8873596,-0.8363037,0.023422241
B_1600,2020-01-04 11:00:00,3.3193054,4.398636,6.5910797,-0.48397827,-0.57250977,0.49235535
B_1600,2020-01-04 12:00:00,-10.336166,14.834961,7.1227875,-0.16204834,-0.4023285,0.4246521
B_1600,2020-01-04 13:00:00,-2.7570038,15.164825,4.391098,0.72631836,-0.26667786,0.73184204
B_1600,2020-01-04 14:00:00,2.3762817,13.26619,0.6513672,-0.45639038,-0.19508362,0.6470947
B_1600,2020-01-04 15:00:00,-1.7127686,7.6976013,1.6625824,-1.5661469,-0.80656433,1.7754059
B_1600,2020-01-04 16:00:00,-1.59758,-4.2884216,0.63868713,-0.29156494,-0.3579712,0.22601318
B_1600,2020-01-04 17:00:00,-1.0456696,-2.5699768,2.354477,1.4472046,1.1725616,0.05404663
B_1600,2020-01-04 18:00:00,-3.7796173,13.850403,3.5088654,1.2303467,1.1200714,0.43978882
B_1600,2020-01-04 19:00:00,2.0489655,16.158691,0.75764465,0.6403656,0.3225708,0.9220276
B_1600,2020-01-04 20:00:00,-1.9616852,10.061569,0.33062744,0.12332153,0.698349,0.32006836
B_1600,2020-01-04 21:00:00,-7.967972,16.704193,1.3320313,-0.058135986,0.21601868,0.47558594
B_1600,2020-01-04 22:00:00,0.21072388,14.216339,2.7745514,-0.82862854,-0.3022461,0.1544342
B_1600,2020-01-04 23:00:00,0.78297424,-0.037475586,0.791214,0.5465088,0.3829956,0.7555847
B_1600,2020-01-05 00:00:00,-1.9486694,-1.3286896,2.8034973,-0.7870178,-0.7597656,0.8627167
B_1600,2020-01-05 01:00:00,-2.7556152,1.5891113,1.3436584,-0.8139343,-0.88383484,0.2577057
B_1600,2020-01-05 02:00:00,-0.3897705,3.2304535,7.8708344,-0.40150452,-0.18859863,0.49195862
B_1600,2020-01-05 03:00:00,-11.69677023894032,16.431183,2.7728577,0.26281738,-0.06959534,0.053131104
B_1600,2020-01-05 04:00:00,0.10456848,12.757019,3.816803,0.88371277,0.39570618,0.85139465
B_1600,2020-01-05 05:00:00,2.8511353,13.5950775,0.6820984,-0.88227844,0.12713623,0.5386963
B_1600,2020-01-05 06:00:00,-2.2341309,6.3417816,1.3070526,-1.1411285,0.06227112,0.046081543
B_1600,2020-01-05 07:00:00,-1.7140808,-5.96492,3.25354,-2.4841003,-1.1375885,2.1464386
B_1600,2020-01-05 08:00:00,-1.5678558,-1.2722778,1.858551,0.37724304,1.2127533,0.7291107
B_1600,2020-01-05 09:00:00,-0.47109985,6.2443237,0.5144043,1.0236053,0.8510132,0.55696106
B_1600,2020-01-05 10:00:00,-7.547394,15.530533,7.634094,1.0459442,0.18788147,1.0553589
B_1600,2020-01-05 11:00:00,3.1305847,15.260513,2.6217651,-0.104660034,0.46865845,0.5027771
B_1600,2020-01-05 12:00:00,-1.9423523,18.608536,2.520584,-0.010284424,1.1671753,0.83280945
B_1600,2020-01-05 13:00:00,-0.8345337,17.382141,1.1199951,-0.14433289,0.043121338,0.42234802
B_1600,2020-01-05 14:00:00,1.807373,8.99115,0.24526978,-0.6867523,0.22462463,0.37327576
B_1600,2020-01-05 15:00:00,-0.526886,-4.578354,1.7932739,0.9265747,2.1203766,0.011413574
B_1600,2020-01-05 16:00:00,-2.77211,-0.84469604,5.268631,-0.005706787,-0.9056854,0.6972656
B_1600,2020-01-05 17:00:00,-4.605484,3.1849518,1.2372131,-0.25227356,0.4819641,0.72210693
B_1600,2020-01-05 18:00:00,1.8794403,19.315567,5.5986176,-0.1965332,0.2108612,0.7132416
B_1600,2020-01-05 19:00:00,-0.44566345,17.985336,0.5278168,0.69132996,0.1668396,0.67466736
B_1600,2020-01-05 20:00:00,5.7577972,16.24173,0.341156,0.16485596,-0.606781,0.55581665
B_1600,2020-01-05 21:00:00,-3.7297974,7.764099,2.6346436,-1.7335052,-0.66500854,0.33032227
B_1600,2020-01-05 22:00:00,-2.4639282,-2.261673,0.34716797,-1.6688538,0.20265198,2.211423230508196
B_1600,2020-01-05 23:00:00,-2.046585,-5.442627,2.6419067,0.99365234,0.83413696,0.9423218
B_1600,2020-01-06 00:00:00,0.5995636,5.571808,0.25914,1.494751,1.7743378,0.11677551
B_1600,2020-01-06 01:00:00,-10.554352,19.269272,8.462433,1.1790619,0.74658203,0.07815552
B_1600,2020-01-06 02:00:00,1.8307648,14.641098,1.7146606,0.26843262,0.5522766,1.0731506
B_1600,2020-01-06 03:00:00,-2.6540375,13.161224,0.4562683,0.16004944,0.74357605,0.22497559
B_1600,2020-01-06 04:00:00,-6.432724,16.99466,0.29405212,-0.3165741,0.09101868,0.43469238
B_1600,2020-01-06 05:00:00,2.422882,11.236465,2.6458282,-0.956192,0.2147522,0.250885
B_1600,2020-01-06 06:00:00,0.05795288,-3.2838287,1.101471,0.87750244,0.96936035,0.42570496
B_1600,2020-01-06 07:00:00,-3.538208,-0.3839569,4.6185913,-0.8899689,-0.96281433,0.39068604
B_1600,2020-01-06 08:00:00,-3.2106628,2.9231873,0.16038513,-0.6215668,-0.9504242,0.03352356
B_1600,2020-01-06 09:00:00,-1.5561523,9.758514,6.894272,0.22621155,-0.9376373,0.11331177
B_1600,2020-01-06 10:00:00,-7.516464,19.16835,1.9205475,0.7099457,-0.80345154,0.3597107
B_1600,2020-01-06 11:00:00,2.3395844,15.886887,1.3794708,0.05836487,-0.35881042,0.64816284
B_1600,2020-01-06 12:00:00,-1.0341492,8.747681,3.259842,-1.3920135,-0.58987427,0.1774292
B_1600,2020-01-06 13:00:00,-2.4375916,-1.1546173,0.13575745,0.05406189,-0.60749817,0.78170776
B_1600,2020-01-06 14:00:00,-0.3559265,-5.722122,5.229233,-0.09881592,0.32772827,0.023590088
B_1600,2020-01-06 15:00:00,-1.0072021,5.9227448,4.023651,1.3488464,1.6746368,0.1907959
B_1600,2020-01-06 16:00:00,-3.1759033,14.328476,7.1451874,0.97317505,0.8555603,0.050949097
B_1600,2020-01-06 17:00:00,-2.3081665,7.7067566,2.6512604,0.2359314,0.62590027,1.1304321
B_1600,2020-01-06 18:00:00,-3.4080505,13.860901,1.1278076,-0.28167725,0.48059082,0.0041046143
B_1600,2020-01-06 19:00:00,-5.001877,17.069122,0.3008728,-0.3708191,-0.12017822,0.49562073
B_1600,2020-01-06 20:00:00,-0.14726257,9.122086,1.9607239,-0.511261,-0.30801392,0.28167725
B_1600,2020-01-06 21:00:00,0.05895996,-1.9040985,0.027542114,0.07090759,0.2263031,0.5394745
B_1600,2020-01-06 22:00:00,-1.035614,-0.07627869,2.460968,-0.11244202,-0.24446106,0.033798218
B_1600,2020-01-06 23:00:00,-2.2645721,2.4253235,3.2512054,-0.2033081,-0.9868469,0.38243103
B_1600,2020-01-07 00:00:00,-2.067215,8.916718,8.245728,-0.2970276,0.035736084,0.6850586
B_1600,2020-01-07 01:00:00,-1.2580872,17.61705,9.889557,0.28001404,0.053207397,0.007293701
B_1600,2020-01-07 02:00:00,5.6059723,15.942596,1.6020813,0.33268738,-0.07142639,0.5933533
B_1600,2020-01-07 03:00:00,4.255722,13.402145,0.5701752,-0.519989,-0.48721313,0.3261261
B_1600,2020-01-07 04:00:00,-3.8216705,1.8903503,0.7894745,-1.1453857,-0.573349,2.2021332
